file,noise_type,sigma,psnr_noisy,ssim_noisy,psnr_model,ssim_model,psnr_mean,ssim_mean,psnr_median,ssim_median,psnr_adaptive,ssim_adaptive,best_psnr,best_ssim
L1_5e9d5b2c67c741f051aaab358332b883.npy,gaussian,0.0987,20.116,0.4098,31.841,0.9438,24.977,0.6894,25.622,0.6404,27.519,0.7857,model,model
L1_12fbc86e71d19887909b02c9d74257f7.npy,gaussian,0.097,18.172,0.5066,29.903,0.946,25.659,0.7852,24.784,0.7386,25.586,0.8424,model,model
L1_40c68641cb5c73b1e3ca224dcd043881.npy,gaussian,0.0939,20.219,0.4032,30.25,0.8783,24.347,0.5182,23.56,0.4354,27.155,0.7309,model,model
L1_932e8847061103595b73787067357341.npy,gaussian,0.0887,18.309,0.325,31.355,0.9252,25.431,0.6554,24.498,0.5959,27.043,0.7614,model,model
L1_5332c85073a5e9a1d2de42365cb931a6.npy,gaussian,0.0829,21.629,0.6541,26.038,0.6703,23.891,0.5785,23.744,0.5633,24.921,0.6079,model,model
L1_6312926d73621e53c305dccdc5033fda.npy,gaussian,0.0772,22.217,0.4561,35.712,0.9583,27.786,0.7931,28.752,0.7466,30.144,0.8644,model,model
L1_9b3620095a96cf6c9b8515db8d830821.npy,gaussian,0.0761,22.328,0.7488,25.479,0.7114,19.951,0.495,20.207,0.5102,24.043,0.6847,model,model
L1_97d787c18fa0c25ddb63a638aeea3ac5.npy,gaussian,0.0713,22.226,0.5305,31.458,0.9011,27.75,0.7745,27.265,0.739,29.493,0.8485,model,model
L1_2bacc340b8b0fe7bade5ce599308fbd0.npy,gaussian,0.0608,23.961,0.4907,36.629,0.9702,26.689,0.7904,27.253,0.748,30.864,0.8794,model,model
L1_0a085e1194f37d52484b48775e66f5d0.npy,gaussian,0.0601,23.793,0.908,28.862,0.9667,21.744,0.8372,22.819,0.8616,25.117,0.9103,model,model
L1_02cb3d23b5d74d2875052f767acf48c2.npy,gaussian,0.0599,23.815,0.3438,38.2,0.9511,29.174,0.7233,28.845,0.6641,32.469,0.8183,model,model
